metric,M3,NEW,delta_abs,delta_pct
M3_full.equity_final,2.38543962694251,2.4774250864468494,0.09198545950433923,3.8561218848468513
M3_full.multiple,2.3854396269425098,2.477425086446849,0.09198545950433923,3.8561218848468526
M3_full.return_pct,1.3854396269425098,1.477425086446849,0.09198545950433923,6.6394419298760425
M3_full.MDD,-0.6803348624996948,-0.6754282875667084,0.004906574932986407,0.7211999859831685
M3_full.cost_total_recomputed_daily,0.08623148829215131,0.07771319764795906,-0.008518290644192253,-9.87839919372884
M3_full.cash_cdi_total_gain_por_periodo,0.17775063589405637,0.17775063589402965,-2.6728619317850644e-14,-1.503714413363986e-11
W1.equity_final,5.369645122088539,5.38447726027694,0.014832138188401345,0.2762219448616437
W1.multiple,5.369645122088538,5.384477260276939,0.014832138188401345,0.27622194486164375
W1.return_pct,4.369645122088538,4.384477260276939,0.014832138188401345,0.3394357613487866
W1.MDD,-0.18737225795599066,-0.18717083176451754,0.0002014261914731197,0.10750054125965114
W1.cost_total_recomputed_daily,0.03892186425373122,0.038921864253725465,-5.752343046339092e-15,-1.4779207411134343e-11
W1.cash_cdi_total_gain_por_periodo,0.04081892338956983,0.04081892338955814,-1.1685097334179773e-14,-2.86266671530234e-11
W2.equity_final,2.507541739507133,2.546044353542266,0.038502614035132776,1.5354725079352263
W2.multiple,0.4673457809709631,0.4731771173027432,0.005831336331780124,1.2477562800855655
W2.return_pct,-0.5326542190290369,-0.5268228826972567,0.005831336331780124,1.0947695753560223
W2.MDD,-0.5981000548432676,-0.5933719225118059,0.004728132331461632,0.7905253131435745
W2.cost_total_recomputed_daily,0.02558437411396306,0.021411133454670973,-0.004173240659292088,-16.311677747920665
W2.cash_cdi_total_gain_por_periodo,0.06321311547370462,0.06321311547369701,-7.605027718682322e-15,-1.2030775040419991e-11
