task_id,fase,resumo,path_do_task_spec,outputs_principais,depends_on
TASK_CEP_BUNDLE_CORE_V2_F0_001_SSOT_MASTERPLAN_V2_PUBLICATION,Fase 0,Publicar MASTERPLAN_V2 como SSOT documental com rastreabilidade e hashes.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F0_001_SSOT_MASTERPLAN_V2_PUBLICATION.json,docs/MASTERPLAN_V2.md; outputs/governanca/masterplan_v2/f0_001/report.md; outputs/governanca/masterplan_v2/f0_001/manifest.json,
TASK_CEP_BUNDLE_CORE_V2_F0_002_GOVERNANCE_INDEX_AND_BOOTSTRAP,Fase 0,Atualizar índice local e registrar pacote inicial de governança do V2.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F0_002_GOVERNANCE_INDEX_AND_BOOTSTRAP.json,docs/LOCAL_DOCUMENT_INDEX.md; outputs/governanca/masterplan_v2/f0_002/report.md; outputs/governanca/masterplan_v2/f0_002/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F0_001_SSOT_MASTERPLAN_V2_PUBLICATION
TASK_CEP_BUNDLE_CORE_V2_F1_001_LEDGER_DAILY_PORTFOLIO_INTEGRITY,Fase 1,Validar integridade contábil de ledger/daily_portfolio com custos e CDI.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F1_001_LEDGER_DAILY_PORTFOLIO_INTEGRITY.json,outputs/masterplan_v2/f1_001/validation_report.md; outputs/masterplan_v2/f1_001/manifest.json; outputs/masterplan_v2/f1_001/evidence/,TASK_CEP_BUNDLE_CORE_V2_F0_002_GOVERNANCE_INDEX_AND_BOOTSTRAP
TASK_CEP_BUNDLE_CORE_V2_F1_002_ACCOUNTING_PLOTLY_DECOMPOSITION,Fase 1,Gerar decomposição Plotly de P&L/custos/caixa para baseline e NEW.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F1_002_ACCOUNTING_PLOTLY_DECOMPOSITION.json,outputs/masterplan_v2/f1_002/pnl_decomposition.html; outputs/masterplan_v2/f1_002/report.md; outputs/masterplan_v2/f1_002/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F1_001_LEDGER_DAILY_PORTFOLIO_INTEGRITY
TASK_CEP_BUNDLE_CORE_V2_F2_001_ENVELOPE_CONTINUO_IMPLEMENTATION,Fase 2,Implementar envelope contínuo SPC/CEP com guardrails E2/E3/E4.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F2_001_ENVELOPE_CONTINUO_IMPLEMENTATION.json,outputs/masterplan_v2/f2_001/envelope_daily.csv; outputs/masterplan_v2/f2_001/report.md; outputs/masterplan_v2/f2_001/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F1_002_ACCOUNTING_PLOTLY_DECOMPOSITION
TASK_CEP_BUNDLE_CORE_V2_F2_002_EXECUTOR_CASH_AND_CADENCE_ENFORCEMENT,Fase 2,"Aplicar executor com compra só com caixa, cadência de 3 sessões e T+0 operacional.",planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F2_002_EXECUTOR_CASH_AND_CADENCE_ENFORCEMENT.json,outputs/masterplan_v2/f2_002/execution_audit.csv; outputs/masterplan_v2/f2_002/report.md; outputs/masterplan_v2/f2_002/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F2_001_ENVELOPE_CONTINUO_IMPLEMENTATION
TASK_CEP_BUNDLE_CORE_V2_F2_003_ENVELOPE_PLOTLY_AUDIT,Fase 2,Publicar auditoria Plotly do envelope/guardrails/fallback.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F2_003_ENVELOPE_PLOTLY_AUDIT.json,outputs/masterplan_v2/f2_003/envelope_audit.html; outputs/masterplan_v2/f2_003/report.md; outputs/masterplan_v2/f2_003/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F2_002_EXECUTOR_CASH_AND_CADENCE_ENFORCEMENT
TASK_CEP_BUNDLE_CORE_V2_F3_001_REVALIDATE_ABLATION_E1_E5,Fase 3,Revalidar ablation E1..E5 no V2 com mesma contabilidade do baseline.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F3_001_REVALIDATE_ABLATION_E1_E5.json,outputs/masterplan_v2/f3_001/results_summary.json; outputs/masterplan_v2/f3_001/report.md; outputs/masterplan_v2/f3_001/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F2_003_ENVELOPE_PLOTLY_AUDIT
TASK_CEP_BUNDLE_CORE_V2_F3_002_NON_REGRESSION_WINDOW_CHECK,Fase 3,Comparar full/W1/W2/W3 e validar não-regressão por métricas alvo.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F3_002_NON_REGRESSION_WINDOW_CHECK.json,outputs/masterplan_v2/f3_002/metrics_compare.csv; outputs/masterplan_v2/f3_002/report.md; outputs/masterplan_v2/f3_002/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F3_001_REVALIDATE_ABLATION_E1_E5
TASK_CEP_BUNDLE_CORE_V2_F4_001_RL_INTRA_REGIME_INTERFACE,Fase 4,Ativar interface RL intra-regime com variáveis contínuas e trilha de inputs/ações.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F4_001_RL_INTRA_REGIME_INTERFACE.json,outputs/masterplan_v2/f4_001/rl_action_log.parquet; outputs/masterplan_v2/f4_001/report.md; outputs/masterplan_v2/f4_001/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F3_002_NON_REGRESSION_WINDOW_CHECK
TASK_CEP_BUNDLE_CORE_V2_F4_002_W2_REJECTION_RULE_VALIDATION,Fase 4,Validar regra de rejeição automática para ganhos RL com piora em W2.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F4_002_W2_REJECTION_RULE_VALIDATION.json,outputs/masterplan_v2/f4_002/rejection_decisions.json; outputs/masterplan_v2/f4_002/report.md; outputs/masterplan_v2/f4_002/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F4_001_RL_INTRA_REGIME_INTERFACE
TASK_CEP_BUNDLE_CORE_V2_F5_001_G1_G4_COVERAGE_CLOSEOUT,Fase 5,Fechar cobertura G1..G4 do corpus e consolidar taxonomia de janelas/regimes.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F5_001_G1_G4_COVERAGE_CLOSEOUT.json,outputs/masterplan_v2/f5_001/gaps_closure.json; outputs/masterplan_v2/f5_001/report.md; outputs/masterplan_v2/f5_001/manifest.json,TASK_CEP_BUNDLE_CORE_V2_F4_002_W2_REJECTION_RULE_VALIDATION
TASK_CEP_BUNDLE_CORE_V2_F5_002_FINAL_GOVERNANCE_PACKAGE,Fase 5,Emitir pacote final de governança V2 com recomendação de continuidade.,planning/task_specs/masterplan_v2/TASK_CEP_BUNDLE_CORE_V2_F5_002_FINAL_GOVERNANCE_PACKAGE.json,outputs/governanca/masterplan_v2/final/report.md; outputs/governanca/masterplan_v2/final/manifest.json; outputs/governanca/masterplan_v2/final/evidence/,TASK_CEP_BUNDLE_CORE_V2_F5_001_G1_G4_COVERAGE_CLOSEOUT
